phrase	pos	meaning	phonetic	example
presumption	n.	假定；推定	/prɪˈzʌmpʃn/	
predominant	adj.	占主导地位的；普遍的	/prɪˈdɒmɪnənt/	
precipitate	v./adj.	加速；促成；仓促的	/prɪˈsɪpɪteɪt/	
ponderous	adj.	笨重的；沉闷的	/ˈpɒndərəs/	
plumage	n.	羽毛	/ˈpluːmɪdʒ/	
pivotal	adj.	关键的；核心的	/ˈpɪvətl/	
platitude	n.	陈词滥调	/ˈplætɪtjuːd/	
paradigm	n.	范例；模式	/ˈpærədaɪm/	
pathos	n.	悲怆；感染力	/ˈpeɪθɒs/	
ostensible	adj.	表面的；假装的	/ɒˈstensəbl/	
orthodox	adj.	正统的；传统的	/ˈɔːθədɒks/	
opaque	adj.	不透明的；难懂的	/əʊˈpeɪk/	
ominous	adj.	不祥的；预兆的	/ˈɒmɪnəs/	
nullify	v.	使无效；废除	/ˈnʌlɪfaɪ/	
nuance	n.	细微差别	/ˈnjuːɑːns/	
noxious	adj.	有害的；有毒的	/ˈnɒkʃəs/	
notwithstanding	prep./adv./conj.	尽管；虽然	/ˌnɒtwɪθˈstændɪŋ/	
negligence	n.	疏忽；过失	/ˈneɡlɪdʒəns/	
mercenary	adj./n.	唯利是图的；雇佣兵	/ˈmɜːsənəri/	
marginal	adj.	边缘的；微不足道的	/ˈmɑːdʒɪnl/	
malleable	adj.	可塑的；易受影响的	/ˈmæliəbl/	
magnate	n.	大亨；权贵	/ˈmæɡneɪt/	
magnanimous	adj.	宽宏大量的	/mæɡˈnænɪməs/	
lucrative	adj.	获利丰厚的	/ˈluːkrətɪv/	
lofty	adj.	高耸的；崇高的	/ˈlɒfti/	
legislate	v.	立法	/ˈledʒɪsleɪt/	
lavish	adj./v.	奢侈的；慷慨给予	/ˈlævɪʃ/	
laudable	adj.	值得称赞的	/ˈlɔːdəbl/	
kindle	v.	点燃；激起	/ˈkɪndl/	
juxtaposition	n.	并置；并列	/ˌdʒʌkstəpəˈzɪʃn/	
justification	n.	理由；辩护	/ˌdʒʌstɪfɪˈkeɪʃn/	
infrastructure	n.	基础设施	/ˈɪnfrəstrʌktʃə(r)/	
incorporate	v.	包含；合并	/ɪnˈkɔːpəreɪt/	
incline	v./n.	倾斜；倾向于	/ɪnˈklaɪn/	
incipient	adj.	开始的；初期的	/ɪnˈsɪpiənt/	
impromptu	adj./adv.	即兴的；临时地	/ɪmˈprɒmptjuː/	
implicate	v.	牵涉；暗示	/ˈɪmplɪkeɪt/	
homogeneous	adj.	同类的；同质的	/ˌhɒməˈdʒiːniəs/	
hierarchy	n.	等级制度；层级	/ˈhaɪərɑːki/	
headstrong	adj.	倔强的；任性的	/ˈhedstrɒŋ/	
guarantee	n./v.	保证；担保	/ˌɡærənˈtiː/	
genial	adj.	友好的；和蔼的	/ˈdʒiːniəl/	
gaunt	adj.	憔悴的；瘦削的	/ɡɔːnt/	
finite	adj.	有限的；限定的	/ˈfaɪnaɪt/	
fervent	adj.	热情的；热烈的	/ˈfɜːvənt/	
feasible	adj.	可行的；行得通的	/ˈfiːzəbl/	
fanatical	adj.	狂热的；入迷的	/fəˈnætɪkl/	
fallacy	n.	谬误；谬论	/ˈfæləsi/	
